all4_GL...1. all4_GL...2.
352 2008.292  0.0651
353 2008.375  0.0658
354 2008.458  0.0566
355 2008.542  0.1701
356 2008.625  0.0861
357 2008.708  0.1546
358 2008.792  0.2328
359 2008.875  0.2431
360 2008.958  0.1183
361 2009.042  0.1871
362 2009.125  0.1061
363 2009.208  0.0956
364 2009.292  0.1883
365 2009.375  0.1836
366 2009.458  0.2573
367 2009.542  0.2738
368 2009.625  0.2603
369 2009.708  0.2866
370 2009.792  0.2278
371 2009.875  0.2898
372 2009.958  0.2313
373 2010.042  0.2938
374 2010.125  0.3348
375 2010.208  0.4378
376 2010.292  0.4213
377 2010.375  0.3223
378 2010.458  0.2663
379 2010.542  0.2563
380 2010.625  0.2253
381 2010.708  0.1721
382 2010.792  0.2388
383 2010.875  0.3436
384 2010.958  0.0676
385 2011.042  0.0576
386 2011.125  0.0476
387 2011.208  0.1633
388 2011.292  0.2033
389 2011.375  0.0998
390 2011.458  0.1926
391 2011.542  0.2483
392 2011.625  0.2463
393 2011.708  0.1566
394 2011.792  0.1931
395 2011.875  0.1013
396 2011.958  0.1213
397 2012.042  0.0046
398 2012.125  0.0213
399 2012.208  0.0791
400 2012.292  0.2683
401 2012.375  0.2973
402 2012.458  0.2473
403 2012.542  0.1768
404 2012.625  0.2248
405 2012.708  0.2746
406 2012.792  0.3081
407 2012.875  0.3078
408 2012.958  0.0516
409 2013.042  0.1963
410 2013.125  0.1483
411 2013.208  0.1736
412 2013.292  0.1336
413 2013.375  0.2066
414 2013.458  0.2368
415 2013.542  0.2051
416 2013.625  0.2421
417 2013.708  0.3106
418 2013.792  0.2463
419 2013.875  0.3848
420 2013.958  0.2483
421 2014.042  0.2713
422 2014.125  0.0558
423 2014.208  0.3078
424 2014.292  0.3586
425 2014.375  0.3713
426 2014.458  0.2906
427 2014.542  0.2146
428 2014.625  0.3738
429 2014.708  0.3826
430 2014.792  0.3668
431 2014.875  0.2393
432 2014.958  0.3661
433 2015.042  0.3811
434 2015.125  0.4071
435 2015.208  0.4348
436 2015.292  0.3426
437 2015.375  0.3788
438 2015.458  0.4113
439 2015.542  0.3523
440 2015.625  0.4076
441 2015.708  0.4578
442 2015.792  0.5996
443 2015.875  0.5756
444 2015.958  0.6988
445 2016.042  0.6751
446 2016.125  0.8248
447 2016.208  0.8196
448 2016.292  0.6448
449 2016.375  0.4581
450 2016.458  0.4193
451 2016.542  0.4228
452 2016.625  0.5308
453 2016.708  0.4483
454 2016.792  0.3916
455 2016.875  0.3863
456 2016.958  0.3848
457 2017.042  0.4926
458 2017.125  0.5913
459 2017.208  0.6268
460 2017.292  0.4648
461 2017.375  0.4103
462 2017.458  0.3058
463 2017.542  0.3731
464 2017.625  0.4061
465 2017.708  0.2941
466 2017.792  0.3458
467 2017.875  0.3528
468 2017.958  0.3833
