Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
3910,0.17,0.12,0.29,0.13,0.19,0.11,0.17,0.12,0.18,0.13,0.17,0.12,0.17,0.17,,3910,0.39,0.27,0.00,0.29,-0.17,0.21,,3910,0.16,0.24,0.39,0.17,-0.21,0.27
3930,0.17,0.12,0.29,0.13,0.19,0.11,0.18,0.11,0.18,0.13,0.18,0.12,0.18,0.18,,3930,0.40,0.27,0.01,0.29,-0.18,0.20,,3930,0.16,0.24,0.39,0.17,-0.21,0.27
3950,0.17,0.12,0.29,0.14,0.19,0.11,0.18,0.11,0.19,0.12,0.18,0.12,0.18,0.18,,3950,0.41,0.27,0.01,0.29,-0.19,0.20,,3950,0.16,0.25,0.39,0.17,-0.21,0.27
3970,0.17,0.12,0.29,0.13,0.19,0.11,0.18,0.11,0.19,0.12,0.18,0.12,0.18,0.18,,3970,0.42,0.27,0.01,0.29,-0.20,0.20,,3970,0.16,0.25,0.40,0.17,-0.21,0.27
3990,0.17,0.12,0.28,0.13,0.19,0.11,0.18,0.11,0.19,0.12,0.18,0.12,0.18,0.18,,3990,0.43,0.28,0.01,0.28,-0.21,0.20,,3990,0.15,0.25,0.40,0.17,-0.21,0.27
4010,0.18,0.12,0.29,0.13,0.19,0.11,0.18,0.11,0.19,0.12,0.18,0.12,0.19,0.17,,4010,0.44,0.28,0.01,0.28,-0.22,0.20,,4010,0.16,0.25,0.41,0.17,-0.22,0.27
4030,0.18,0.12,0.29,0.13,0.20,0.11,0.18,0.11,0.20,0.12,0.19,0.12,0.19,0.18,,4030,0.45,0.29,0.02,0.28,-0.23,0.20,,4030,0.16,0.24,0.41,0.17,-0.22,0.27
4050,0.19,0.12,0.29,0.13,0.20,0.11,0.18,0.11,0.20,0.12,0.19,0.12,0.19,0.18,,4050,0.47,0.29,0.02,0.28,-0.24,0.21,,4050,0.16,0.24,0.42,0.17,-0.23,0.27
4070,0.19,0.13,0.29,0.13,0.21,0.11,0.19,0.12,0.20,0.13,0.19,0.13,0.20,0.18,,4070,0.49,0.29,0.02,0.29,-0.25,0.21,,4070,0.15,0.25,0.43,0.17,-0.23,0.27
4090,0.19,0.13,0.29,0.14,0.21,0.11,0.20,0.11,0.21,0.13,0.20,0.13,0.20,0.18,,4090,0.51,0.28,0.02,0.29,-0.26,0.21,,4090,0.14,0.25,0.44,0.17,-0.23,0.27
4110,0.20,0.13,0.30,0.13,0.22,0.11,0.20,0.11,0.21,0.12,0.20,0.13,0.20,0.18,,4110,0.53,0.28,0.01,0.29,-0.26,0.22,,4110,0.13,0.25,0.46,0.18,-0.23,0.27
4130,0.20,0.13,0.29,0.13,0.22,0.11,0.20,0.11,0.21,0.12,0.20,0.13,0.20,0.18,,4130,0.54,0.29,0.01,0.29,-0.27,0.22,,4130,0.12,0.24,0.47,0.18,-0.23,0.27
4150,0.20,0.13,0.29,0.14,0.22,0.11,0.21,0.11,0.21,0.13,0.20,0.13,0.20,0.18,,4150,0.55,0.29,0.00,0.29,-0.27,0.23,,4150,0.11,0.24,0.48,0.18,-0.24,0.27
4170,0.20,0.13,0.29,0.13,0.22,0.11,0.21,0.11,0.21,0.13,0.20,0.13,0.20,0.18,,4170,0.55,0.29,0.00,0.28,-0.26,0.24,,4170,0.10,0.24,0.50,0.18,-0.25,0.27
4190,0.20,0.13,0.29,0.13,0.22,0.11,0.21,0.11,0.21,0.13,0.20,0.13,0.20,0.18,,4190,0.56,0.29,-0.01,0.28,-0.25,0.24,,4190,0.08,0.24,0.51,0.18,-0.25,0.28
4210,0.20,0.12,0.29,0.13,0.23,0.11,0.22,0.11,0.21,0.12,0.20,0.12,0.20,0.18,,4210,0.57,0.29,-0.02,0.28,-0.23,0.25,,4210,0.07,0.24,0.53,0.18,-0.26,0.27
4230,0.20,0.12,0.30,0.13,0.23,0.11,0.22,0.11,0.21,0.12,0.20,0.12,0.20,0.18,,4230,0.58,0.28,-0.03,0.28,-0.21,0.26,,4230,0.06,0.24,0.54,0.18,-0.27,0.28
4250,0.20,0.12,0.30,0.13,0.24,0.11,0.23,0.11,0.22,0.12,0.20,0.12,0.21,0.18,,4250,0.60,0.28,-0.04,0.28,-0.20,0.26,,4250,0.05,0.24,0.56,0.18,-0.28,0.28
4270,0.20,0.12,0.31,0.13,0.25,0.11,0.23,0.11,0.22,0.12,0.21,0.12,0.21,0.18,,4270,0.61,0.28,-0.04,0.28,-0.17,0.26,,4270,0.04,0.24,0.58,0.18,-0.29,0.27
4290,0.21,0.12,0.31,0.13,0.26,0.11,0.24,0.11,0.22,0.12,0.21,0.12,0.22,0.17,,4290,0.63,0.28,-0.05,0.28,-0.14,0.26,,4290,0.04,0.23,0.59,0.18,-0.29,0.27
4310,0.21,0.13,0.32,0.13,0.26,0.11,0.25,0.11,0.23,0.13,0.22,0.13,0.22,0.17,,4310,0.64,0.28,-0.05,0.28,-0.12,0.25,,4310,0.03,0.23,0.61,0.18,-0.29,0.27
4330,0.22,0.13,0.32,0.13,0.27,0.11,0.25,0.11,0.23,0.13,0.22,0.13,0.22,0.17,,4330,0.65,0.28,-0.05,0.27,-0.10,0.24,,4330,0.04,0.23,0.62,0.18,-0.29,0.27
4350,0.22,0.12,0.33,0.13,0.27,0.11,0.26,0.11,0.24,0.13,0.23,0.12,0.23,0.17,,4350,0.65,0.28,-0.04,0.27,-0.08,0.24,,4350,0.04,0.23,0.63,0.18,-0.30,0.27
4370,0.23,0.12,0.34,0.13,0.28,0.11,0.27,0.11,0.24,0.13,0.23,0.12,0.23,0.17,,4370,0.66,0.28,-0.04,0.27,-0.07,0.23,,4370,0.04,0.23,0.64,0.17,-0.29,0.27
4390,0.23,0.12,0.34,0.12,0.28,0.11,0.27,0.11,0.25,0.13,0.23,0.12,0.23,0.17,,4390,0.66,0.28,-0.04,0.27,-0.06,0.22,,4390,0.04,0.23,0.64,0.17,-0.29,0.26
4410,0.23,0.12,0.35,0.12,0.29,0.11,0.28,0.11,0.25,0.12,0.24,0.12,0.24,0.17,,4410,0.66,0.28,-0.04,0.27,-0.05,0.22,,4410,0.04,0.23,0.64,0.17,-0.27,0.26
4430,0.23,0.12,0.35,0.12,0.29,0.11,0.28,0.11,0.25,0.12,0.24,0.12,0.24,0.17,,4430,0.65,0.28,-0.03,0.27,-0.04,0.22,,4430,0.04,0.23,0.65,0.17,-0.27,0.25
4450,0.23,0.12,0.35,0.11,0.29,0.10,0.28,0.10,0.25,0.12,0.24,0.12,0.24,0.16,,4450,0.64,0.27,-0.02,0.26,-0.04,0.21,,4450,0.04,0.23,0.65,0.16,-0.27,0.25
4470,0.23,0.11,0.35,0.11,0.28,0.10,0.27,0.10,0.25,0.11,0.24,0.11,0.24,0.16,,4470,0.63,0.26,-0.02,0.26,-0.04,0.21,,4470,0.04,0.22,0.65,0.16,-0.28,0.24
4490,0.24,0.11,0.36,0.11,0.28,0.10,0.27,0.10,0.25,0.11,0.24,0.11,0.24,0.16,,4490,0.62,0.26,-0.01,0.25,-0.05,0.21,,4490,0.05,0.21,0.64,0.16,-0.27,0.24
4510,0.24,0.11,0.36,0.10,0.28,0.10,0.27,0.10,0.26,0.11,0.24,0.11,0.24,0.16,,4510,0.61,0.26,0.00,0.25,-0.06,0.21,,4510,0.06,0.21,0.64,0.15,-0.26,0.24
4530,0.24,0.11,0.36,0.10,0.28,0.10,0.27,0.10,0.26,0.11,0.25,0.11,0.25,0.15,,4530,0.61,0.25,0.00,0.24,-0.07,0.21,,4530,0.06,0.21,0.64,0.15,-0.26,0.23
4550,0.25,0.11,0.36,0.10,0.28,0.10,0.27,0.10,0.26,0.11,0.25,0.11,0.25,0.15,,4550,0.60,0.25,0.01,0.24,-0.09,0.21,,4550,0.07,0.21,0.64,0.14,-0.25,0.23
4570,0.25,0.10,0.37,0.10,0.28,0.09,0.27,0.09,0.26,0.10,0.25,0.10,0.25,0.15,,4570,0.59,0.25,0.01,0.23,-0.11,0.21,,4570,0.08,0.20,0.64,0.14,-0.26,0.23
4590,0.25,0.10,0.37,0.10,0.27,0.09,0.26,0.09,0.26,0.10,0.25,0.10,0.25,0.14,,4590,0.58,0.24,0.01,0.23,-0.13,0.20,,4590,0.09,0.19,0.63,0.14,-0.27,0.23
4610,0.25,0.10,0.37,0.09,0.27,0.09,0.26,0.09,0.26,0.10,0.25,0.10,0.25,0.14,,4610,0.58,0.24,0.01,0.22,-0.16,0.20,,4610,0.09,0.19,0.63,0.14,-0.28,0.23
4630,0.25,0.10,0.37,0.09,0.27,0.09,0.26,0.09,0.26,0.10,0.25,0.10,0.25,0.14,,4630,0.57,0.24,0.02,0.22,-0.17,0.19,,4630,0.11,0.19,0.63,0.13,-0.28,0.23
4650,0.25,0.09,0.37,0.09,0.27,0.09,0.26,0.09,0.27,0.10,0.26,0.09,0.26,0.14,,4650,0.57,0.23,0.02,0.22,-0.19,0.18,,4650,0.12,0.19,0.62,0.13,-0.29,0.22
4670,0.26,0.10,0.37,0.09,0.27,0.09,0.25,0.09,0.27,0.10,0.26,0.10,0.26,0.14,,4670,0.57,0.23,0.02,0.21,-0.21,0.18,,4670,0.13,0.19,0.62,0.13,-0.29,0.22
4690,0.26,0.10,0.37,0.09,0.27,0.09,0.25,0.09,0.27,0.10,0.26,0.10,0.26,0.14,,4690,0.56,0.23,0.03,0.21,-0.22,0.18,,4690,0.14,0.19,0.62,0.12,-0.29,0.22
4710,0.26,0.09,0.37,0.09,0.27,0.09,0.25,0.09,0.27,0.10,0.27,0.09,0.27,0.13,,4710,0.56,0.23,0.03,0.21,-0.23,0.18,,4710,0.16,0.19,0.62,0.12,-0.29,0.22
4730,0.27,0.09,0.37,0.09,0.27,0.09,0.26,0.09,0.28,0.10,0.27,0.09,0.27,0.13,,4730,0.56,0.24,0.04,0.21,-0.23,0.18,,4730,0.18,0.19,0.61,0.12,-0.29,0.21
4750,0.28,0.09,0.38,0.08,0.28,0.08,0.26,0.09,0.29,0.09,0.28,0.09,0.28,0.13,,4750,0.56,0.23,0.05,0.20,-0.23,0.18,,4750,0.20,0.19,0.61,0.12,-0.29,0.21
4770,0.29,0.09,0.38,0.08,0.28,0.08,0.27,0.09,0.30,0.09,0.29,0.09,0.29,0.13,,4770,0.56,0.23,0.06,0.20,-0.23,0.18,,4770,0.22,0.18,0.61,0.11,-0.28,0.20
4790,0.30,0.09,0.39,0.08,0.29,0.08,0.28,0.08,0.31,0.09,0.30,0.09,0.30,0.13,,4790,0.57,0.23,0.07,0.20,-0.22,0.18,,4790,0.24,0.18,0.61,0.11,-0.27,0.20
4810,0.30,0.09,0.39,0.08,0.30,0.08,0.28,0.08,0.32,0.09,0.31,0.09,0.31,0.13,,4810,0.57,0.24,0.08,0.20,-0.21,0.18,,4810,0.25,0.18,0.61,0.11,-0.26,0.20
4830,0.31,0.09,0.40,0.08,0.30,0.08,0.29,0.08,0.33,0.09,0.31,0.09,0.31,0.13,,4830,0.57,0.24,0.08,0.20,-0.20,0.19,,4830,0.27,0.17,0.61,0.11,-0.25,0.20
4850,0.32,0.09,0.40,0.08,0.30,0.08,0.29,0.08,0.33,0.09,0.32,0.09,0.32,0.13,,4850,0.57,0.24,0.09,0.20,-0.18,0.19,,4850,0.28,0.18,0.61,0.11,-0.25,0.19
4870,0.33,0.09,0.41,0.09,0.31,0.09,0.30,0.08,0.34,0.09,0.33,0.09,0.33,0.13,,4870,0.57,0.24,0.10,0.20,-0.17,0.19,,4870,0.30,0.19,0.61,0.11,-0.24,0.19
4890,0.33,0.09,0.41,0.09,0.32,0.09,0.31,0.08,0.35,0.09,0.34,0.09,0.34,0.13,,4890,0.58,0.24,0.11,0.20,-0.16,0.19,,4890,0.31,0.19,0.61,0.11,-0.23,0.19
4910,0.34,0.09,0.42,0.09,0.33,0.09,0.32,0.08,0.36,0.09,0.34,0.09,0.35,0.13,,4910,0.59,0.23,0.11,0.20,-0.15,0.18,,4910,0.32,0.20,0.62,0.11,-0.23,0.19
4930,0.34,0.09,0.43,0.08,0.33,0.08,0.32,0.08,0.36,0.09,0.35,0.09,0.35,0.13,,4930,0.60,0.23,0.12,0.20,-0.14,0.18,,4930,0.32,0.19,0.62,0.11,-0.22,0.19
4950,0.35,0.09,0.43,0.08,0.34,0.08,0.32,0.08,0.36,0.09,0.35,0.09,0.35,0.13,,4950,0.60,0.23,0.12,0.19,-0.14,0.17,,4950,0.33,0.19,0.63,0.11,-0.22,0.19
4970,0.35,0.09,0.44,0.08,0.34,0.09,0.33,0.09,0.36,0.09,0.36,0.09,0.36,0.13,,4970,0.61,0.24,0.12,0.19,-0.13,0.17,,4970,0.33,0.19,0.63,0.11,-0.22,0.19
4990,0.35,0.09,0.44,0.08,0.35,0.09,0.33,0.09,0.37,0.09,0.36,0.09,0.36,0.13,,4990,0.61,0.23,0.13,0.19,-0.12,0.17,,4990,0.32,0.18,0.64,0.11,-0.22,0.19
5010,0.35,0.09,0.44,0.08,0.35,0.08,0.33,0.08,0.37,0.09,0.36,0.09,0.36,0.13,,5010,0.61,0.23,0.13,0.19,-0.11,0.17,,5010,0.31,0.18,0.64,0.12,-0.22,0.19
5030,0.36,0.09,0.45,0.08,0.35,0.08,0.34,0.08,0.37,0.09,0.36,0.09,0.36,0.13,,5030,0.61,0.23,0.13,0.19,-0.10,0.17,,5030,0.31,0.18,0.65,0.12,-0.22,0.19
5050,0.36,0.09,0.45,0.08,0.35,0.08,0.34,0.08,0.37,0.09,0.36,0.09,0.36,0.13,,5050,0.61,0.24,0.13,0.19,-0.10,0.17,,5050,0.30,0.18,0.65,0.12,-0.21,0.19
5070,0.36,0.09,0.45,0.08,0.35,0.09,0.34,0.09,0.38,0.09,0.36,0.09,0.37,0.13,,5070,0.62,0.24,0.14,0.20,-0.09,0.17,,5070,0.29,0.18,0.66,0.12,-0.21,0.19
5090,0.36,0.09,0.45,0.08,0.36,0.09,0.35,0.09,0.38,0.09,0.37,0.09,0.37,0.13,,5090,0.63,0.24,0.14,0.20,-0.09,0.17,,5090,0.28,0.19,0.66,0.12,-0.20,0.19
5110,0.36,0.09,0.46,0.08,0.36,0.09,0.35,0.09,0.38,0.09,0.37,0.09,0.37,0.13,,5110,0.64,0.24,0.13,0.20,-0.08,0.17,,5110,0.27,0.19,0.66,0.12,-0.20,0.19
5130,0.37,0.09,0.46,0.08,0.37,0.09,0.35,0.09,0.38,0.09,0.37,0.09,0.37,0.13,,5130,0.65,0.24,0.13,0.20,-0.07,0.17,,5130,0.26,0.19,0.67,0.12,-0.19,0.19
5150,0.37,0.09,0.46,0.08,0.37,0.09,0.36,0.09,0.39,0.10,0.37,0.09,0.38,0.13,,5150,0.67,0.25,0.13,0.20,-0.06,0.17,,5150,0.26,0.19,0.68,0.12,-0.18,0.19
5170,0.38,0.09,0.46,0.08,0.38,0.09,0.36,0.09,0.39,0.10,0.38,0.09,0.38,0.13,,5170,0.69,0.24,0.13,0.20,-0.05,0.17,,5170,0.26,0.19,0.68,0.12,-0.17,0.20
5190,0.38,0.09,0.47,0.08,0.38,0.08,0.37,0.08,0.40,0.09,0.39,0.09,0.39,0.13,,5190,0.71,0.24,0.12,0.20,-0.04,0.17,,5190,0.25,0.19,0.69,0.12,-0.16,0.19
5210,0.39,0.09,0.47,0.08,0.39,0.08,0.37,0.08,0.40,0.09,0.39,0.09,0.39,0.13,,5210,0.74,0.24,0.11,0.20,-0.04,0.18,,5210,0.24,0.19,0.70,0.12,-0.16,0.19
5230,0.39,0.09,0.47,0.08,0.39,0.08,0.37,0.08,0.40,0.09,0.39,0.09,0.39,0.13,,5230,0.76,0.24,0.10,0.20,-0.04,0.18,,5230,0.23,0.19,0.70,0.12,-0.15,0.20
5250,0.39,0.09,0.47,0.09,0.39,0.09,0.37,0.08,0.40,0.09,0.39,0.09,0.39,0.13,,5250,0.77,0.24,0.09,0.20,-0.04,0.19,,5250,0.22,0.19,0.71,0.12,-0.15,0.20
5270,0.39,0.09,0.47,0.09,0.39,0.09,0.38,0.08,0.40,0.09,0.39,0.09,0.39,0.13,,5270,0.79,0.24,0.08,0.20,-0.04,0.18,,5270,0.21,0.18,0.71,0.12,-0.14,0.19
5290,0.38,0.09,0.47,0.09,0.39,0.09,0.37,0.08,0.40,0.09,0.39,0.09,0.39,0.13,,5290,0.79,0.24,0.07,0.21,-0.04,0.19,,5290,0.19,0.18,0.71,0.12,-0.15,0.20
5310,0.38,0.09,0.47,0.09,0.38,0.09,0.37,0.08,0.39,0.09,0.38,0.09,0.39,0.13,,5310,0.79,0.24,0.06,0.21,-0.05,0.20,,5310,0.18,0.19,0.72,0.12,-0.15,0.20
5330,0.38,0.09,0.46,0.09,0.38,0.09,0.36,0.09,0.39,0.09,0.38,0.09,0.38,0.14,,5330,0.78,0.24,0.05,0.21,-0.06,0.20,,5330,0.17,0.19,0.72,0.13,-0.16,0.20
5350,0.37,0.10,0.46,0.09,0.38,0.09,0.36,0.09,0.39,0.10,0.38,0.10,0.38,0.14,,5350,0.78,0.24,0.04,0.21,-0.06,0.21,,5350,0.15,0.19,0.72,0.13,-0.16,0.21
5370,0.37,0.10,0.46,0.10,0.37,0.09,0.36,0.09,0.38,0.10,0.37,0.10,0.37,0.14,,5370,0.77,0.25,0.03,0.21,-0.08,0.21,,5370,0.14,0.19,0.72,0.13,-0.17,0.21
5390,0.36,0.10,0.46,0.10,0.37,0.09,0.36,0.09,0.38,0.10,0.37,0.10,0.37,0.14,,5390,0.77,0.25,0.03,0.22,-0.09,0.21,,5390,0.13,0.19,0.73,0.14,-0.18,0.21
5410,0.36,0.10,0.46,0.10,0.37,0.09,0.36,0.09,0.38,0.10,0.36,0.10,0.36,0.15,,5410,0.76,0.26,0.02,0.22,-0.11,0.22,,5410,0.12,0.20,0.73,0.14,-0.18,0.22
5430,0.35,0.10,0.46,0.10,0.36,0.09,0.35,0.09,0.37,0.10,0.36,0.10,0.36,0.15,,5430,0.75,0.26,0.02,0.23,-0.12,0.21,,5430,0.12,0.20,0.73,0.15,-0.20,0.22
5450,0.35,0.10,0.47,0.10,0.36,0.09,0.35,0.09,0.36,0.10,0.35,0.10,0.35,0.15,,5450,0.75,0.26,0.02,0.23,-0.13,0.22,,5450,0.12,0.20,0.73,0.15,-0.21,0.23
5470,0.35,0.11,0.47,0.10,0.36,0.10,0.35,0.10,0.36,0.11,0.35,0.11,0.35,0.15,,5470,0.74,0.27,0.01,0.23,-0.14,0.22,,5470,0.11,0.20,0.74,0.16,-0.22,0.23
5490,0.34,0.11,0.47,0.11,0.36,0.10,0.35,0.10,0.35,0.11,0.35,0.11,0.35,0.15,,5490,0.74,0.27,0.01,0.24,-0.15,0.23,,5490,0.11,0.20,0.74,0.16,-0.23,0.23
5510,0.34,0.11,0.47,0.11,0.36,0.10,0.35,0.10,0.35,0.11,0.34,0.11,0.35,0.16,,5510,0.73,0.28,0.01,0.25,-0.14,0.23,,5510,0.12,0.21,0.75,0.16,-0.24,0.24
5530,0.34,0.12,0.47,0.11,0.36,0.11,0.35,0.11,0.35,0.12,0.34,0.12,0.34,0.16,,5530,0.73,0.28,0.01,0.25,-0.15,0.24,,5530,0.12,0.21,0.75,0.17,-0.26,0.24
5550,0.34,0.12,0.48,0.11,0.36,0.11,0.35,0.10,0.35,0.12,0.34,0.12,0.34,0.17,,5550,0.73,0.28,0.01,0.26,-0.14,0.24,,5550,0.13,0.22,0.75,0.17,-0.28,0.25
5570,0.34,0.12,0.48,0.11,0.37,0.11,0.35,0.10,0.35,0.12,0.34,0.12,0.34,0.17,,5570,0.73,0.28,0.01,0.26,-0.14,0.23,,5570,0.14,0.22,0.75,0.17,-0.30,0.25
5590,0.34,0.12,0.48,0.12,0.37,0.11,0.35,0.10,0.35,0.12,0.34,0.12,0.34,0.17,,5590,0.73,0.28,0.01,0.27,-0.14,0.23,,5590,0.15,0.23,0.76,0.18,-0.31,0.25
5610,0.33,0.12,0.48,0.12,0.37,0.11,0.35,0.11,0.35,0.12,0.34,0.12,0.34,0.17,,5610,0.73,0.29,0.01,0.27,-0.14,0.22,,5610,0.16,0.23,0.75,0.18,-0.33,0.26
5630,0.33,0.13,0.48,0.12,0.37,0.11,0.35,0.11,0.34,0.12,0.33,0.13,0.34,0.18,,5630,0.73,0.29,0.01,0.27,-0.13,0.22,,5630,0.17,0.23,0.75,0.18,-0.34,0.27
5650,0.33,0.13,0.48,0.12,0.37,0.11,0.35,0.11,0.34,0.13,0.33,0.13,0.33,0.18,,5650,0.73,0.29,0.01,0.27,-0.13,0.23,,5650,0.17,0.24,0.75,0.18,-0.36,0.27
5670,0.33,0.13,0.48,0.13,0.37,0.12,0.36,0.11,0.34,0.13,0.33,0.13,0.33,0.18,,5670,0.73,0.30,0.02,0.28,-0.12,0.23,,5670,0.18,0.24,0.75,0.18,-0.37,0.27
5690,0.33,0.13,0.48,0.13,0.37,0.12,0.36,0.11,0.34,0.13,0.33,0.13,0.33,0.18,,5690,0.73,0.30,0.02,0.28,-0.11,0.21,,5690,0.20,0.23,0.75,0.18,-0.38,0.27
5710,0.33,0.13,0.48,0.13,0.38,0.11,0.36,0.11,0.34,0.12,0.33,0.13,0.33,0.18,,5710,0.74,0.30,0.02,0.28,-0.10,0.21,,5710,0.21,0.23,0.75,0.18,-0.39,0.28
5730,0.33,0.13,0.48,0.13,0.38,0.11,0.36,0.12,0.34,0.12,0.33,0.13,0.33,0.18,,5730,0.74,0.30,0.01,0.28,-0.10,0.21,,5730,0.21,0.23,0.75,0.19,-0.39,0.28
5750,0.32,0.13,0.48,0.13,0.38,0.11,0.36,0.11,0.33,0.12,0.33,0.13,0.33,0.18,,5750,0.75,0.30,0.00,0.28,-0.09,0.21,,5750,0.21,0.23,0.75,0.19,-0.40,0.28
5770,0.32,0.12,0.47,0.13,0.38,0.11,0.36,0.11,0.33,0.12,0.32,0.12,0.32,0.18,,5770,0.75,0.30,-0.01,0.28,-0.08,0.21,,5770,0.21,0.23,0.74,0.18,-0.40,0.27
5790,0.31,0.12,0.47,0.13,0.37,0.11,0.35,0.11,0.32,0.12,0.31,0.12,0.31,0.18,,5790,0.75,0.29,-0.02,0.28,-0.08,0.21,,5790,0.20,0.24,0.74,0.18,-0.41,0.27
5810,0.30,0.12,0.46,0.13,0.37,0.11,0.35,0.11,0.31,0.12,0.30,0.12,0.30,0.18,,5810,0.76,0.30,-0.04,0.28,-0.08,0.21,,5810,0.19,0.24,0.73,0.18,-0.42,0.27
5830,0.29,0.12,0.45,0.13,0.36,0.11,0.34,0.11,0.30,0.13,0.30,0.12,0.30,0.18,,5830,0.76,0.30,-0.07,0.28,-0.07,0.22,,5830,0.18,0.24,0.73,0.18,-0.42,0.27
5850,0.29,0.12,0.45,0.13,0.36,0.11,0.34,0.11,0.29,0.13,0.29,0.12,0.29,0.18,,5850,0.76,0.30,-0.08,0.28,-0.08,0.21,,5850,0.17,0.24,0.72,0.17,-0.42,0.27
5870,0.28,0.12,0.44,0.13,0.35,0.11,0.34,0.11,0.29,0.12,0.28,0.12,0.28,0.18,,5870,0.76,0.30,-0.10,0.28,-0.08,0.21,,5870,0.16,0.24,0.72,0.17,-0.42,0.27
5890,0.28,0.12,0.44,0.13,0.35,0.11,0.34,0.11,0.29,0.13,0.28,0.12,0.28,0.18,,5890,0.76,0.29,-0.11,0.28,-0.08,0.22,,5890,0.15,0.24,0.72,0.17,-0.42,0.27
5910,0.27,0.12,0.43,0.13,0.35,0.11,0.33,0.11,0.28,0.12,0.28,0.12,0.28,0.18,,5910,0.77,0.29,-0.12,0.28,-0.09,0.21,,5910,0.14,0.23,0.72,0.18,-0.42,0.27
5930,0.28,0.12,0.43,0.13,0.35,0.11,0.33,0.11,0.28,0.12,0.28,0.12,0.28,0.17,,5930,0.77,0.28,-0.13,0.28,-0.10,0.22,,5930,0.14,0.23,0.73,0.18,-0.42,0.27
5950,0.28,0.12,0.43,0.13,0.35,0.11,0.33,0.11,0.29,0.13,0.28,0.12,0.28,0.18,,5950,0.78,0.28,-0.13,0.28,-0.11,0.21,,5950,0.14,0.23,0.73,0.18,-0.41,0.27
5970,0.28,0.13,0.44,0.13,0.35,0.11,0.34,0.11,0.29,0.13,0.29,0.13,0.29,0.18,,5970,0.79,0.28,-0.13,0.29,-0.12,0.21,,5970,0.15,0.23,0.74,0.18,-0.42,0.28
5990,0.29,0.13,0.44,0.13,0.36,0.11,0.34,0.11,0.30,0.13,0.30,0.13,0.30,0.18,,5990,0.80,0.28,-0.12,0.29,-0.13,0.21,,5990,0.16,0.24,0.74,0.18,-0.41,0.27
6010,0.30,0.13,0.44,0.13,0.36,0.11,0.34,0.11,0.31,0.13,0.30,0.13,0.30,0.18,,6010,0.81,0.28,-0.11,0.29,-0.14,0.21,,6010,0.17,0.24,0.75,0.18,-0.41,0.28
6030,0.31,0.13,0.45,0.13,0.37,0.12,0.35,0.11,0.32,0.13,0.31,0.13,0.31,0.18,,6030,0.82,0.28,-0.09,0.29,-0.16,0.20,,6030,0.19,0.24,0.76,0.18,-0.40,0.28
6050,0.32,0.13,0.45,0.13,0.37,0.12,0.35,0.12,0.32,0.13,0.32,0.13,0.32,0.18,,6050,0.83,0.27,-0.08,0.29,-0.17,0.21,,6050,0.20,0.24,0.77,0.18,-0.39,0.28
6070,0.33,0.13,0.46,0.13,0.38,0.12,0.36,0.11,0.33,0.13,0.33,0.13,0.33,0.18,,6070,0.83,0.27,-0.06,0.29,-0.18,0.21,,6070,0.20,0.25,0.77,0.18,-0.38,0.28
6090,0.33,0.13,0.46,0.13,0.38,0.12,0.36,0.11,0.34,0.13,0.34,0.13,0.34,0.18,,6090,0.84,0.27,-0.05,0.29,-0.19,0.21,,6090,0.21,0.25,0.78,0.18,-0.38,0.28
6110,0.34,0.13,0.46,0.13,0.39,0.11,0.36,0.11,0.35,0.13,0.35,0.13,0.35,0.18,,6110,0.84,0.27,-0.04,0.29,-0.19,0.21,,6110,0.21,0.24,0.79,0.18,-0.37,0.29
6130,0.35,0.13,0.47,0.13,0.39,0.11,0.37,0.11,0.36,0.13,0.35,0.13,0.35,0.18,,6130,0.84,0.27,-0.03,0.29,-0.19,0.21,,6130,0.22,0.24,0.80,0.18,-0.36,0.29
