Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
630,-0.14,0.16,-0.17,0.16,-0.15,0.14,-0.10,0.21,-0.12,0.22,-0.14,0.16,-0.15,0.23,,630,-0.21,0.34,-0.10,0.35,0.01,0.36,,630,-0.06,0.30,-0.23,0.25,-0.11,0.31
650,-0.16,0.16,-0.18,0.16,-0.16,0.14,-0.11,0.20,-0.13,0.21,-0.16,0.16,-0.16,0.23,,650,-0.22,0.33,-0.11,0.36,-0.10,0.35,,650,-0.05,0.30,-0.23,0.25,-0.13,0.31
670,-0.18,0.16,-0.22,0.16,-0.20,0.14,-0.14,0.20,-0.15,0.21,-0.18,0.16,-0.19,0.23,,670,-0.25,0.33,-0.13,0.36,-0.27,0.31,,670,-0.05,0.30,-0.23,0.25,-0.19,0.32
690,-0.20,0.16,-0.24,0.16,-0.22,0.14,-0.16,0.19,-0.16,0.20,-0.20,0.16,-0.20,0.23,,690,-0.27,0.33,-0.14,0.36,-0.35,0.32,,690,-0.05,0.30,-0.23,0.24,-0.24,0.31
710,-0.20,0.16,-0.23,0.16,-0.22,0.14,-0.17,0.19,-0.16,0.20,-0.20,0.16,-0.21,0.22,,710,-0.27,0.32,-0.15,0.36,-0.35,0.32,,710,-0.05,0.30,-0.23,0.23,-0.26,0.31
730,-0.19,0.15,-0.20,0.16,-0.19,0.13,-0.17,0.18,-0.16,0.19,-0.19,0.15,-0.20,0.22,,730,-0.24,0.32,-0.15,0.36,-0.30,0.31,,730,-0.05,0.29,-0.21,0.23,-0.24,0.30
750,-0.18,0.15,-0.18,0.16,-0.17,0.13,-0.15,0.17,-0.15,0.19,-0.18,0.15,-0.19,0.22,,750,-0.22,0.32,-0.16,0.35,-0.19,0.32,,750,-0.05,0.30,-0.20,0.23,-0.22,0.29
770,-0.17,0.15,-0.16,0.16,-0.14,0.13,-0.13,0.17,-0.14,0.18,-0.17,0.15,-0.17,0.22,,770,-0.22,0.31,-0.15,0.35,-0.05,0.29,,770,-0.05,0.30,-0.18,0.23,-0.20,0.30
790,-0.15,0.15,-0.13,0.16,-0.11,0.13,-0.11,0.17,-0.13,0.18,-0.15,0.15,-0.16,0.22,,790,-0.22,0.31,-0.14,0.35,0.07,0.27,,790,-0.06,0.30,-0.16,0.23,-0.17,0.29
810,-0.14,0.15,-0.11,0.16,-0.09,0.13,-0.10,0.17,-0.12,0.18,-0.14,0.15,-0.14,0.21,,810,-0.22,0.31,-0.11,0.35,0.13,0.27,,810,-0.06,0.29,-0.15,0.23,-0.13,0.29
830,-0.12,0.15,-0.09,0.15,-0.08,0.13,-0.09,0.16,-0.12,0.18,-0.12,0.15,-0.12,0.21,,830,-0.22,0.31,-0.08,0.34,0.14,0.28,,830,-0.06,0.28,-0.13,0.23,-0.12,0.29
850,-0.12,0.15,-0.09,0.16,-0.08,0.13,-0.10,0.16,-0.12,0.18,-0.12,0.15,-0.12,0.21,,850,-0.23,0.31,-0.06,0.34,0.08,0.30,,850,-0.06,0.28,-0.11,0.23,-0.13,0.29
870,-0.11,0.15,-0.09,0.15,-0.09,0.13,-0.10,0.16,-0.11,0.17,-0.11,0.15,-0.12,0.21,,870,-0.23,0.31,-0.05,0.33,-0.01,0.30,,870,-0.06,0.27,-0.09,0.23,-0.14,0.29
890,-0.11,0.15,-0.08,0.15,-0.09,0.13,-0.10,0.16,-0.11,0.17,-0.11,0.15,-0.11,0.21,,890,-0.22,0.30,-0.04,0.33,-0.04,0.29,,890,-0.07,0.28,-0.07,0.23,-0.13,0.29
910,-0.10,0.15,-0.08,0.15,-0.08,0.13,-0.09,0.15,-0.10,0.17,-0.10,0.15,-0.10,0.21,,910,-0.20,0.30,-0.04,0.33,-0.04,0.29,,910,-0.09,0.28,-0.05,0.22,-0.12,0.29
930,-0.09,0.14,-0.07,0.15,-0.07,0.13,-0.09,0.15,-0.09,0.16,-0.09,0.14,-0.09,0.20,,930,-0.19,0.30,-0.03,0.33,-0.05,0.27,,930,-0.10,0.28,-0.04,0.22,-0.10,0.29
950,-0.08,0.14,-0.06,0.15,-0.07,0.12,-0.08,0.15,-0.08,0.16,-0.09,0.14,-0.09,0.20,,950,-0.17,0.30,-0.02,0.33,-0.06,0.26,,950,-0.11,0.27,-0.03,0.22,-0.08,0.29
970,-0.07,0.14,-0.04,0.15,-0.06,0.13,-0.07,0.15,-0.07,0.16,-0.07,0.14,-0.08,0.20,,970,-0.15,0.30,-0.02,0.33,-0.05,0.26,,970,-0.12,0.27,-0.01,0.22,-0.06,0.29
990,-0.06,0.14,-0.03,0.15,-0.05,0.13,-0.06,0.15,-0.06,0.16,-0.06,0.14,-0.06,0.20,,990,-0.12,0.30,-0.01,0.32,-0.07,0.26,,990,-0.12,0.27,0.00,0.22,-0.03,0.28
1010,-0.05,0.14,-0.02,0.15,-0.04,0.12,-0.05,0.15,-0.05,0.16,-0.05,0.14,-0.05,0.20,,1010,-0.09,0.30,-0.01,0.33,-0.07,0.28,,1010,-0.12,0.27,0.01,0.22,-0.01,0.28
1030,-0.04,0.14,-0.01,0.15,-0.03,0.12,-0.05,0.15,-0.05,0.16,-0.04,0.14,-0.04,0.20,,1030,-0.06,0.29,-0.02,0.32,-0.03,0.29,,1030,-0.12,0.26,0.01,0.22,0.02,0.28
1050,-0.03,0.14,-0.01,0.14,-0.02,0.12,-0.04,0.14,-0.04,0.15,-0.03,0.14,-0.03,0.20,,1050,-0.05,0.29,-0.03,0.32,0.01,0.29,,1050,-0.13,0.26,0.01,0.21,0.04,0.28
1070,-0.03,0.14,0.00,0.14,-0.02,0.12,-0.04,0.14,-0.04,0.15,-0.03,0.14,-0.03,0.19,,1070,-0.02,0.29,-0.03,0.31,0.00,0.29,,1070,-0.12,0.25,0.00,0.21,0.05,0.28
1090,-0.02,0.14,0.00,0.14,-0.02,0.12,-0.04,0.14,-0.03,0.15,-0.02,0.14,-0.02,0.20,,1090,0.00,0.28,-0.03,0.31,-0.04,0.30,,1090,-0.11,0.26,0.00,0.21,0.06,0.28
1110,-0.02,0.14,0.00,0.14,-0.02,0.12,-0.04,0.14,-0.03,0.15,-0.01,0.14,-0.01,0.20,,1110,0.01,0.28,-0.03,0.31,-0.05,0.30,,1110,-0.11,0.25,-0.01,0.21,0.07,0.28
1130,-0.01,0.14,0.00,0.14,-0.02,0.12,-0.04,0.14,-0.03,0.15,-0.01,0.14,-0.01,0.20,,1130,0.01,0.28,-0.03,0.31,-0.03,0.30,,1130,-0.09,0.25,-0.02,0.21,0.07,0.29
1150,0.00,0.14,0.01,0.14,-0.01,0.12,-0.04,0.13,-0.03,0.15,0.00,0.14,0.00,0.20,,1150,0.01,0.28,-0.03,0.31,0.00,0.31,,1150,-0.07,0.26,-0.02,0.20,0.06,0.28
1170,0.01,0.14,0.01,0.14,0.00,0.12,-0.03,0.13,-0.02,0.15,0.01,0.14,0.01,0.20,,1170,0.03,0.28,-0.02,0.31,0.03,0.31,,1170,-0.05,0.26,-0.01,0.21,0.06,0.28
1190,0.02,0.14,0.02,0.14,0.00,0.12,-0.03,0.13,-0.02,0.14,0.02,0.14,0.02,0.20,,1190,0.04,0.28,-0.02,0.31,0.04,0.29,,1190,-0.04,0.25,-0.01,0.21,0.06,0.27
1210,0.02,0.14,0.02,0.14,0.00,0.12,-0.03,0.13,-0.01,0.14,0.02,0.14,0.02,0.19,,1210,0.06,0.28,-0.02,0.30,0.01,0.28,,1210,-0.03,0.24,-0.01,0.20,0.05,0.27
1230,0.01,0.14,0.01,0.14,-0.01,0.12,-0.04,0.13,-0.02,0.14,0.01,0.14,0.02,0.19,,1230,0.07,0.28,-0.04,0.30,-0.05,0.28,,1230,-0.04,0.24,-0.01,0.20,0.03,0.27
1250,0.00,0.13,0.00,0.14,-0.02,0.12,-0.05,0.12,-0.02,0.14,0.01,0.13,0.01,0.19,,1250,0.08,0.28,-0.05,0.30,-0.09,0.28,,1250,-0.05,0.23,-0.01,0.20,0.01,0.28
1270,0.00,0.14,0.00,0.14,-0.02,0.12,-0.04,0.12,-0.02,0.14,0.00,0.14,0.00,0.19,,1270,0.10,0.28,-0.06,0.30,-0.11,0.28,,1270,-0.05,0.24,-0.01,0.20,-0.01,0.28
1290,0.00,0.13,-0.01,0.14,-0.02,0.12,-0.04,0.12,-0.02,0.13,0.00,0.13,0.00,0.19,,1290,0.11,0.28,-0.07,0.30,-0.09,0.30,,1290,-0.06,0.24,-0.01,0.20,-0.01,0.29
1310,0.00,0.14,0.00,0.14,-0.01,0.12,-0.03,0.12,-0.02,0.13,0.00,0.14,0.00,0.19,,1310,0.12,0.29,-0.08,0.30,-0.04,0.31,,1310,-0.06,0.24,-0.01,0.20,-0.02,0.29
1330,-0.01,0.13,0.00,0.14,0.00,0.12,-0.02,0.12,-0.01,0.13,0.00,0.13,0.00,0.19,,1330,0.12,0.29,-0.09,0.29,0.01,0.29,,1330,-0.06,0.23,-0.01,0.20,-0.03,0.29
1350,-0.01,0.13,0.01,0.14,0.00,0.12,-0.02,0.12,-0.02,0.13,-0.01,0.13,0.00,0.19,,1350,0.13,0.28,-0.10,0.30,0.03,0.28,,1350,-0.06,0.24,-0.01,0.20,-0.03,0.29
1370,-0.01,0.13,0.00,0.14,0.00,0.12,-0.02,0.11,-0.02,0.12,-0.01,0.13,0.00,0.19,,1370,0.13,0.28,-0.10,0.29,0.02,0.27,,1370,-0.06,0.24,-0.01,0.20,-0.05,0.29
1390,-0.02,0.13,0.00,0.13,-0.01,0.11,-0.03,0.11,-0.03,0.12,-0.02,0.13,-0.01,0.19,,1390,0.14,0.27,-0.11,0.29,-0.03,0.27,,1390,-0.06,0.23,0.00,0.20,-0.07,0.28
1410,-0.02,0.13,-0.01,0.13,-0.01,0.11,-0.03,0.11,-0.03,0.12,-0.02,0.13,-0.02,0.19,,1410,0.15,0.28,-0.12,0.29,-0.08,0.26,,1410,-0.07,0.24,0.00,0.20,-0.10,0.28
1430,-0.03,0.13,-0.01,0.13,-0.02,0.11,-0.04,0.11,-0.03,0.12,-0.03,0.13,-0.02,0.19,,1430,0.16,0.28,-0.13,0.30,-0.13,0.25,,1430,-0.07,0.23,0.01,0.20,-0.11,0.28
1450,-0.04,0.13,-0.01,0.13,-0.02,0.11,-0.04,0.11,-0.04,0.13,-0.03,0.13,-0.03,0.19,,1450,0.16,0.28,-0.14,0.29,-0.15,0.26,,1450,-0.08,0.23,0.01,0.20,-0.13,0.29
1470,-0.04,0.13,-0.02,0.14,-0.02,0.11,-0.04,0.11,-0.04,0.13,-0.04,0.13,-0.03,0.19,,1470,0.17,0.28,-0.15,0.29,-0.18,0.27,,1470,-0.08,0.23,0.01,0.20,-0.14,0.29
1490,-0.05,0.14,-0.02,0.14,-0.03,0.12,-0.04,0.12,-0.04,0.13,-0.05,0.14,-0.04,0.19,,1490,0.17,0.29,-0.16,0.29,-0.20,0.26,,1490,-0.08,0.24,0.01,0.20,-0.15,0.29
1510,-0.06,0.14,-0.03,0.14,-0.03,0.12,-0.05,0.12,-0.05,0.13,-0.05,0.14,-0.05,0.19,,1510,0.17,0.30,-0.16,0.29,-0.24,0.26,,1510,-0.09,0.23,0.01,0.19,-0.16,0.29
